,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,Rookie year,"1,000 Yard Seasons"
83,2.0,D.K. Metcalf,21.0,2019,13.7,9.0,59.8,69.7,54.0,58.0,534.0,110.3,97.0,900.0,280.0,4.8,15.5,1.69,9.278350515463918,2019,3
84,3.0,Diontae Johnson,23.0,2019,9.5,18.0,68.6,67.9,45.0,59.0,422.0,101.9,86.0,680.0,311.0,5.3,11.5,1.61,7.906976744186046,2019,1
85,3.0,Terry McLaurin,23.0,2019,14.6,7.0,63.7,85.7,75.0,58.0,449.0,118.3,91.0,919.0,222.0,3.8,15.8,2.05,10.098901098901099,2019,4
86,3.0,Miles Boykin,22.0,2019,18.0,0.0,59.1,60.9,50.0,13.0,180.0,128.4,22.0,198.0,17.0,1.3,15.2,1.1,9.0,2019,0
87,4.0,Riley Ridley,23.0,2019,12.8,0.0,75.0,63.8,32.0,6.0,72.0,100.5,8.0,69.0,16.0,2.7,11.5,0.96,8.625,2019,0
88,5.0,Hunter Renfrow,23.0,2019,7.2,10.0,73.1,75.5,65.0,49.0,290.0,114.3,67.0,605.0,312.0,6.4,12.3,2.09,9.029850746268657,2019,1
89,5.0,Darius Slayton,22.0,2019,14.4,5.0,60.0,70.3,55.0,48.0,471.0,103.1,80.0,740.0,199.0,4.1,15.4,1.57,9.25,2019,0
90,6.0,KeeSean Johnson,22.0,2019,10.2,1.0,52.5,53.5,31.0,21.0,241.0,63.2,40.0,187.0,49.0,2.3,8.9,0.78,4.675,2019,0
91,6.0,Kelvin Harmon,22.0,2019,11.8,3.0,69.8,63.9,30.0,30.0,290.0,76.2,43.0,365.0,98.0,3.3,12.2,1.26,8.488372093023257,2019,0
92,6.0,Scott Miller,22.0,2019,16.6,0.0,56.5,63.3,48.0,13.0,137.0,99.9,23.0,200.0,38.0,2.9,15.4,1.46,8.695652173913043,2019,0
93,7.0,John Ursua,25.0,2019,11.0,0.0,100.0,71.5,11.0,1.0,6.0,112.5,1.0,11.0,0.0,0.0,11.0,1.83,11.0,2019,0
94,7.0,Olabisi Johnson,22.0,2019,10.3,1.0,75.6,66.2,23.0,31.0,285.0,119.4,41.0,294.0,67.0,2.2,9.5,1.03,7.170731707317073,2019,0
